City,Date,Max Temperature
"DAWU,大武",2017-06-24,37.5
,,
City,Date,Min Temperature
"TAMSUI,淡水",2017-01-26,-99.5
,,
City,Date,Second Min Temperature
"YUSHAN,玉山",2017-02-13,-10.2
